r,t,y,DiscountedSalvageValue
REGION1,DEMAGRELC002,2015,1.4853
REGION1,DEMAGRELC002,2016,0.1438
REGION1,DEMAGRELC002,2017,0.1639
REGION1,DEMAGRELC002,2018,0.1819
REGION1,DEMAGRELC002,2019,0.1924
REGION1,DEMAGRELC002,2020,0.2124
REGION1,DEMAGRELC002,2021,0.2357
REGION1,DEMAGRELC002,2022,0.2591
REGION1,DEMAGRELC002,2023,0.2848
REGION1,DEMAGRELC002,2024,0.3132
REGION1,DEMAGRELC002,2025,0.3446
REGION1,DEMAGRELC002,2026,0.3698
REGION1,DEMAGRELC002,2027,0.3973
REGION1,DEMAGRELC002,2028,0.4331
REGION1,DEMAGRELC002,2029,0.4777
REGION1,DEMAGRELC002,2030,0.5266
REGION1,DEMCOMELC002,2015,66.4629
REGION1,DEMCOMELC002,2016,3.6366
REGION1,DEMCOMELC002,2017,4.7763
REGION1,DEMCOMELC002,2018,4.865
REGION1,DEMCOMELC002,2019,4.8721
REGION1,DEMCOMELC002,2020,4.8786
REGION1,DEMCOMELC002,2021,11.5603
REGION1,DEMCOMELC002,2022,11.7363
REGION1,DEMCOMELC002,2023,11.9116
REGION1,DEMCOMELC002,2024,12.0861
REGION1,DEMCOMELC002,2025,12.2601
REGION1,DEMCOMELC002,2026,12.4334
REGION1,DEMCOMELC002,2027,12.5243
REGION1,DEMCOMELC002,2028,12.6146
REGION1,DEMCOMELC002,2029,12.7863
REGION1,DEMCOMELC002,2030,12.8754
REGION1,DEMINDELC002,2015,84.1272
REGION1,DEMINDELC002,2016,4.6871
REGION1,DEMINDELC002,2017,6.0715
REGION1,DEMINDELC002,2018,6.1623
REGION1,DEMINDELC002,2019,6.1713
REGION1,DEMINDELC002,2020,6.1796
REGION1,DEMINDELC002,2021,14.6539
REGION1,DEMINDELC002,2022,14.8334
REGION1,DEMINDELC002,2023,15.175
REGION1,DEMINDELC002,2024,15.271
REGION1,DEMINDELC002,2025,15.5294
REGION1,DEMINDELC002,2026,15.7054
REGION1,DEMINDELC002,2027,15.8805
REGION1,DEMINDELC002,2028,16.055
REGION1,DEMINDELC002,2029,16.1467
REGION1,DEMINDELC002,2030,16.3198
REGION1,DEMRESELC002,2015,265.0683
REGION1,DEMRESELC002,2016,14.7411
REGION1,DEMRESELC002,2017,19.2203
REGION1,DEMRESELC002,2018,19.251
REGION1,DEMRESELC002,2019,19.5143
REGION1,DEMRESELC002,2020,19.5404
REGION1,DEMRESELC002,2021,45.9646
REGION1,DEMRESELC002,2022,46.9603
REGION1,DEMRESELC002,2023,47.7174
REGION1,DEMRESELC002,2024,48.2354
REGION1,DEMRESELC002,2025,48.9872
REGION1,DEMRESELC002,2026,49.2629
REGION1,DEMRESELC002,2027,50.0098
REGION1,DEMRESELC002,2028,50.5175
REGION1,DEMRESELC002,2029,51.0231
REGION1,DEMRESELC002,2030,51.2892
REGION1,LNDBLTETH,2017,3.2967
REGION1,LNDBLTETH,2018,6.6509
REGION1,LNDBLTETH,2019,9.5704
REGION1,LNDBLTETH,2020,12.755
REGION1,LNDBLTETH,2021,17.2585
REGION1,LNDBLTETH,2022,20.4648
REGION1,LNDBLTETH,2023,23.1177
REGION1,LNDBLTETH,2024,26.6335
REGION1,LNDBLTETH,2025,27.5378
REGION1,LNDBLTETH,2026,33.0875
REGION1,LNDBLTETH,2027,34.235
REGION1,LNDBLTETH,2028,37.1423
REGION1,LNDBLTETH,2029,39.0681
REGION1,LNDBLTETH,2030,557.1374
REGION1,LNDFORETH,2030,2.0505
REGION1,LNDGRSETH,2030,18.9074
REGION1,PWRHYD042,2022,849.993
REGION1,PWRHYD042,2023,850.1479
REGION1,PWRHYD042,2024,850.29
REGION1,PWRHYD042,2025,850.4203
REGION1,PWRHYD042,2026,850.5399
REGION1,PWRHYD042,2027,102.078
REGION1,PWRTRN001,2015,1443.6638
REGION1,PWRTRN001,2016,80.108
REGION1,PWRTRN001,2017,104.3605
REGION1,PWRTRN001,2018,105.5261
REGION1,PWRTRN001,2019,148.4231
REGION1,PWRTRN001,2020,238.9441
REGION1,PWRTRN001,2021,180.0501
REGION1,PWRTRN001,2022,411.7346
REGION1,PWRTRN001,2023,481.8786
REGION1,PWRTRN001,2024,447.2685
REGION1,PWRTRN001,2025,448.0024
REGION1,PWRTRN001,2026,448.0115
REGION1,PWRTRN001,2027,22.2789
REGION1,PWRTRN001,2030,52.3175
