r,t,y,AccumulatedNewCapacity
EXAMPLE,DEMAGRDSL,2019,99999.0
EXAMPLE,DEMAGRDSL,2020,99999.0
EXAMPLE,DEMAGRDSL,2021,99999.0
EXAMPLE,DEMAGRDSL,2022,99999.0
EXAMPLE,DEMAGRGWTWAT,2019,99999.0
EXAMPLE,DEMAGRGWTWAT,2020,99999.0
EXAMPLE,DEMAGRGWTWAT,2021,99999.0
EXAMPLE,DEMAGRGWTWAT,2022,99999.0
EXAMPLE,DEMAGRLND,2019,239.4719
EXAMPLE,DEMAGRLND,2020,99999.0
EXAMPLE,DEMAGRLND,2021,99999.0
EXAMPLE,DEMAGRLND,2022,99999.0
EXAMPLE,DEMAGRSURWAT,2019,99999.0
EXAMPLE,DEMAGRSURWAT,2020,99999.0
EXAMPLE,DEMAGRSURWAT,2021,99999.0
EXAMPLE,DEMAGRSURWAT,2022,99999.0
EXAMPLE,DEMFORLND,2019,99999.0
EXAMPLE,DEMFORLND,2020,30.1548
EXAMPLE,DEMFORLND,2021,99999.0
EXAMPLE,DEMFORLND,2022,99999.0
EXAMPLE,DEMPUBGWTWAT,2019,99999.0
EXAMPLE,DEMPUBGWTWAT,2021,99999.0
EXAMPLE,DEMPUBGWTWAT,2022,99999.0
EXAMPLE,DEMPUBSURWAT,2019,99999.0
EXAMPLE,DEMPUBSURWAT,2020,99999.0
EXAMPLE,DEMPUBSURWAT,2021,99999.0
EXAMPLE,DEMPUBSURWAT,2022,99999.0
EXAMPLE,DEMPWRCOA,2019,99999.0
EXAMPLE,DEMPWRCOA,2020,99999.0
EXAMPLE,DEMPWRCOA,2021,99999.0
EXAMPLE,DEMPWRCOA,2022,99999.0
EXAMPLE,DEMPWRGAS,2019,99999.0
EXAMPLE,DEMPWRGAS,2020,99999.0
EXAMPLE,DEMPWRGAS,2021,99999.0
EXAMPLE,DEMPWRGAS,2022,99999.0
EXAMPLE,DEMPWRGWTWAT,2019,99999.0
EXAMPLE,DEMPWRGWTWAT,2020,99999.0
EXAMPLE,DEMPWRGWTWAT,2021,99999.0
EXAMPLE,DEMPWRGWTWAT,2022,3.8329
EXAMPLE,DEMPWRSURWAT,2019,99999.0
EXAMPLE,DEMPWRSURWAT,2020,99999.0
EXAMPLE,DEMPWRSURWAT,2021,99999.0
EXAMPLE,DEMPWRSURWAT,2022,99999.0
EXAMPLE,DEMTRABIO,2019,99999.0
EXAMPLE,DEMTRABIO,2020,15.3893
EXAMPLE,DEMTRABIO,2021,15.696
EXAMPLE,DEMTRABIO,2022,16.0129
EXAMPLE,LNDAGR001,2019,99999.0
EXAMPLE,LNDAGR001,2020,99999.0
EXAMPLE,LNDAGR001,2021,99999.0
EXAMPLE,LNDAGR001,2022,99999.0
EXAMPLE,MINHYD,2019,99999.0
EXAMPLE,MINHYD,2020,99999.0
EXAMPLE,MINHYD,2021,99999.0
EXAMPLE,MINHYD,2022,99999.0
EXAMPLE,MINLND,2019,99999.0
EXAMPLE,MINLND,2020,99999.0
EXAMPLE,MINLND,2021,99999.0
EXAMPLE,MINLND,2022,99999.0
EXAMPLE,MINPRC,2019,99999.0
EXAMPLE,MINPRC,2020,99999.0
EXAMPLE,MINPRC,2021,99999.0
EXAMPLE,MINPRC,2022,99999.0
EXAMPLE,MINSOL,2019,99999.0
EXAMPLE,MINSOL,2020,99999.0
EXAMPLE,MINSOL,2021,99999.0
EXAMPLE,MINSOL,2022,99999.0
EXAMPLE,MINWND,2019,99999.0
EXAMPLE,MINWND,2020,99999.0
EXAMPLE,MINWND,2021,99999.0
EXAMPLE,MINWND,2022,99999.0
EXAMPLE,PWRGAS,2019,4.0513
EXAMPLE,PWRGAS,2020,4.0513
EXAMPLE,PWRGAS,2021,4.0513
EXAMPLE,PWRGAS,2022,4.0513
EXAMPLE,PWRHYD,2019,7.9967
EXAMPLE,PWRHYD,2020,7.9967
EXAMPLE,PWRHYD,2021,7.9967
EXAMPLE,PWRHYD,2022,7.9967
EXAMPLE,PWRSOL,2020,0.0058
EXAMPLE,PWRSOL,2021,0.0116
EXAMPLE,PWRSOL,2022,0.0176
EXAMPLE,PWRTRN,2019,8.0496
EXAMPLE,PWRTRN,2020,8.0496
EXAMPLE,PWRTRN,2021,8.0496
EXAMPLE,PWRTRN,2022,8.0496
