r,l,t,f,m,y,RateOfProductionByTechnologyByMode
EXAMPLE,SD,MINHYD,1,HYD,2019,44.8833
EXAMPLE,SD,MINHYD,1,HYD,2020,44.8833
EXAMPLE,SD,MINHYD,1,HYD,2021,44.8833
EXAMPLE,SD,MINHYD,1,HYD,2022,44.8833
EXAMPLE,SD,MINSOL,1,SOL,2019,35.8905
EXAMPLE,SD,MINSOL,1,SOL,2020,35.8905
EXAMPLE,SD,MINSOL,1,SOL,2021,35.8905
EXAMPLE,SD,MINSOL,1,SOL,2022,35.8905
EXAMPLE,SD,PWRHYD,1,ELC001,2019,44.8833
EXAMPLE,SD,PWRHYD,1,ELC001,2020,44.8833
EXAMPLE,SD,PWRHYD,1,ELC001,2021,44.8833
EXAMPLE,SD,PWRHYD,1,ELC001,2022,44.8833
EXAMPLE,SD,PWRSOL,1,ELC002,2019,35.8905
EXAMPLE,SD,PWRSOL,1,ELC002,2020,35.8905
EXAMPLE,SD,PWRSOL,1,ELC002,2021,35.8905
EXAMPLE,SD,PWRSOL,1,ELC002,2022,35.8905
EXAMPLE,SD,PWRTRN,1,ELC002,2019,35.9066
EXAMPLE,SD,PWRTRN,1,ELC002,2020,35.9066
EXAMPLE,SD,PWRTRN,1,ELC002,2021,35.9066
EXAMPLE,SD,PWRTRN,1,ELC002,2022,35.9066
EXAMPLE,SN,MINHYD,1,HYD,2019,44.8833
EXAMPLE,SN,MINHYD,1,HYD,2020,44.8833
EXAMPLE,SN,MINHYD,1,HYD,2021,44.8833
EXAMPLE,SN,MINHYD,1,HYD,2022,44.8833
EXAMPLE,SN,PWRHYD,1,ELC001,2019,44.8833
EXAMPLE,SN,PWRHYD,1,ELC001,2020,44.8833
EXAMPLE,SN,PWRHYD,1,ELC001,2021,44.8833
EXAMPLE,SN,PWRHYD,1,ELC001,2022,44.8833
EXAMPLE,SN,PWRTRN,1,ELC002,2019,35.9066
EXAMPLE,SN,PWRTRN,1,ELC002,2020,35.9066
EXAMPLE,SN,PWRTRN,1,ELC002,2021,35.9066
EXAMPLE,SN,PWRTRN,1,ELC002,2022,35.9066
EXAMPLE,WD,MINGAS,1,GAS,2019,57.8739
EXAMPLE,WD,MINGAS,1,GAS,2020,57.8739
EXAMPLE,WD,MINGAS,1,GAS,2021,57.8739
EXAMPLE,WD,MINGAS,1,GAS,2022,57.8739
EXAMPLE,WD,MINHYD,1,HYD,2019,74.8055
EXAMPLE,WD,MINHYD,1,HYD,2020,74.8055
EXAMPLE,WD,MINHYD,1,HYD,2021,74.8055
EXAMPLE,WD,MINHYD,1,HYD,2022,74.8055
EXAMPLE,WD,MINSOL,1,SOL,2019,25.6361
EXAMPLE,WD,MINSOL,1,SOL,2020,25.6361
EXAMPLE,WD,MINSOL,1,SOL,2021,25.6361
EXAMPLE,WD,MINSOL,1,SOL,2022,25.6361
EXAMPLE,WD,PWRGAS,1,ELC001,2019,28.9369
EXAMPLE,WD,PWRGAS,1,ELC001,2020,28.9369
EXAMPLE,WD,PWRGAS,1,ELC001,2021,28.9369
EXAMPLE,WD,PWRGAS,1,ELC001,2022,28.9369
EXAMPLE,WD,PWRHYD,1,ELC001,2019,74.8055
EXAMPLE,WD,PWRHYD,1,ELC001,2020,74.8055
EXAMPLE,WD,PWRHYD,1,ELC001,2021,74.8055
EXAMPLE,WD,PWRHYD,1,ELC001,2022,74.8055
EXAMPLE,WD,PWRSOL,1,ELC002,2019,25.6361
EXAMPLE,WD,PWRSOL,1,ELC002,2020,25.6361
EXAMPLE,WD,PWRSOL,1,ELC002,2021,25.6361
EXAMPLE,WD,PWRSOL,1,ELC002,2022,25.6361
EXAMPLE,WD,PWRTRN,1,ELC002,2019,82.994
EXAMPLE,WD,PWRTRN,1,ELC002,2020,82.994
EXAMPLE,WD,PWRTRN,1,ELC002,2021,82.994
EXAMPLE,WD,PWRTRN,1,ELC002,2022,82.994
EXAMPLE,WN,MINGAS,1,GAS,2019,484.0643
EXAMPLE,WN,MINGAS,1,GAS,2020,484.0643
EXAMPLE,WN,MINGAS,1,GAS,2021,484.0643
EXAMPLE,WN,MINGAS,1,GAS,2022,484.0643
EXAMPLE,WN,MINHYD,1,HYD,2019,74.8055
EXAMPLE,WN,MINHYD,1,HYD,2020,74.8055
EXAMPLE,WN,MINHYD,1,HYD,2021,74.8055
EXAMPLE,WN,MINHYD,1,HYD,2022,74.8055
EXAMPLE,WN,PWRGAS,1,ELC001,2019,242.0322
EXAMPLE,WN,PWRGAS,1,ELC001,2020,242.0322
EXAMPLE,WN,PWRGAS,1,ELC001,2021,242.0322
EXAMPLE,WN,PWRGAS,1,ELC001,2022,242.0322
EXAMPLE,WN,PWRHYD,1,ELC001,2019,74.8055
EXAMPLE,WN,PWRHYD,1,ELC001,2020,74.8055
EXAMPLE,WN,PWRHYD,1,ELC001,2021,74.8055
EXAMPLE,WN,PWRHYD,1,ELC001,2022,74.8055
EXAMPLE,WN,PWRTRN,1,ELC002,2019,253.4701
EXAMPLE,WN,PWRTRN,1,ELC002,2020,253.4701
EXAMPLE,WN,PWRTRN,1,ELC002,2021,253.4701
EXAMPLE,WN,PWRTRN,1,ELC002,2022,253.4701
