r,t,y,TotalCapacityAnnual
EXAMPLE,MINGAS,2019,484.0643
EXAMPLE,MINGAS,2020,484.0643
EXAMPLE,MINGAS,2021,484.0643
EXAMPLE,MINGAS,2022,484.0643
EXAMPLE,MINHYD,2019,74.8055
EXAMPLE,MINHYD,2020,74.8055
EXAMPLE,MINHYD,2021,74.8055
EXAMPLE,MINHYD,2022,74.8055
EXAMPLE,MINSOL,2019,35.8905
EXAMPLE,MINSOL,2020,35.8905
EXAMPLE,MINSOL,2021,35.8905
EXAMPLE,MINSOL,2022,35.8905
EXAMPLE,PWRGAS,2019,7.6748
EXAMPLE,PWRGAS,2020,7.6748
EXAMPLE,PWRGAS,2021,7.6748
EXAMPLE,PWRGAS,2022,7.6748
EXAMPLE,PWRHYD,2019,4.7441
EXAMPLE,PWRHYD,2020,4.7441
EXAMPLE,PWRHYD,2021,4.7441
EXAMPLE,PWRHYD,2022,4.7441
EXAMPLE,PWRSOL,2019,3.2517
EXAMPLE,PWRSOL,2020,3.2517
EXAMPLE,PWRSOL,2021,3.2517
EXAMPLE,PWRSOL,2022,3.2517
EXAMPLE,PWRTRN,2019,10.0469
EXAMPLE,PWRTRN,2020,10.0469
EXAMPLE,PWRTRN,2021,10.0469
EXAMPLE,PWRTRN,2022,10.0469
